0,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
29,Downtown Toronto,Stn A PO Boxes 25 The Esplanade,43.646435,-79.374846,3,Cafe,Beer Bar,Cocktail Bar,Seafood Restaurant,Farmers Market,French Restaurant,Clothing Store,Park,Museum,Concert Hall
30,Downtown Toronto,"First Canadian Place, Underground city",43.648429,-79.38228,0,Cafe,Coffee Shop,Restaurant,Deli / Bodega,Steakhouse,Gluten-free Restaurant,Pizza Place,Seafood Restaurant,Pub,Japanese Restaurant
31,Downtown Toronto,Christie,43.669542,-79.422564,0,Grocery Store,Cafe,Park,Nightclub,Diner,Baby Store,Restaurant,Italian Restaurant,Convenience Store,Coffee Shop
32,West Toronto,"Dovercourt Village, Dufferin",43.669005,-79.442259,0,Pharmacy,Supermarket,Bakery,Music Venue,Portuguese Restaurant,Cafe,Middle Eastern Restaurant,Discount Store,Brewery,Liquor Store
33,West Toronto,"Little Portugal, Trinity",43.647927,-79.41975,0,Bar,Asian Restaurant,Vietnamese Restaurant,Pizza Place,Wine Bar,New American Restaurant,Malay Restaurant,Mac & Cheese Joint,Korean Restaurant,Japanese Restaurant
34,West Toronto,"Brockton, Exhibition Place, Parkdale Village",43.636847,-79.428191,0,Breakfast Spot,Coffee Shop,Cafe,Intersection,Falafel Restaurant,Burrito Place,Restaurant,Stadium,Bar,Caribbean Restaurant
35,West Toronto,"High Park, The Junction South",43.661608,-79.464763,0,Cafe,Mexican Restaurant,Bar,Grocery Store,Furniture / Home Store,Bakery,Italian Restaurant,Speakeasy,Fried Chicken Joint,Arts & Crafts Store
36,West Toronto,"Parkdale, Roncesvalles",43.64896,-79.456325,4,Breakfast Spot,Gift Shop,Italian Restaurant,Bar,Restaurant,Bookstore,Movie Theater,Bank,Cuban Restaurant,Dog Run
37,West Toronto,"Runnymede, Swansea",43.651571,-79.48445,0,Pizza Place,Coffee Shop,Cafe,Italian Restaurant,Sushi Restaurant,Pub,Burrito Place,Dessert Shop,Diner,Indie Movie Theater
39,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.662744,-79.321558,0,Light Rail Station,Yoga Studio,Fast Food Restaurant,Park,Comic Shop,Moving Target,Pizza Place,Butcher,Burrito Place,Recording Studio
